2023-05-21 00:11:48.875 INFO  [HikariPool-32 connection closer] [jdbc.connection] - 343. Connection closed
2023-05-21 00:11:48.878 INFO  [HikariPool-32 connection closer] [jdbc.audit] - 343. Connection.close() returned 
2023-05-21 00:11:48.908 INFO  [HikariPool-32 connection adder] [jdbc.connection] - 348. Connection opened
2023-05-21 00:11:48.909 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 348. Connection.new Connection returned 
2023-05-21 00:11:48.909 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 348. Connection.isReadOnly() returned false
2023-05-21 00:11:48.909 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 348. Connection.getAutoCommit() returned true
2023-05-21 00:11:53.596 INFO  [HikariPool-32 connection closer] [jdbc.connection] - 346. Connection closed
2023-05-21 00:11:53.597 INFO  [HikariPool-32 connection closer] [jdbc.audit] - 346. Connection.close() returned 
2023-05-21 00:11:53.609 INFO  [HikariPool-32 connection closer] [jdbc.connection] - 339. Connection closed
2023-05-21 00:11:53.610 INFO  [HikariPool-32 connection closer] [jdbc.audit] - 339. Connection.close() returned 
2023-05-21 00:11:53.676 INFO  [HikariPool-32 connection adder] [jdbc.connection] - 349. Connection opened
2023-05-21 00:11:53.676 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 349. Connection.new Connection returned 
2023-05-21 00:11:53.676 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 349. Connection.isReadOnly() returned false
2023-05-21 00:11:53.676 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 349. Connection.getAutoCommit() returned true
2023-05-21 00:11:53.716 INFO  [HikariPool-32 connection adder] [jdbc.connection] - 350. Connection opened
2023-05-21 00:11:53.717 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 350. Connection.new Connection returned 
2023-05-21 00:11:53.717 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 350. Connection.isReadOnly() returned false
2023-05-21 00:11:53.717 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 350. Connection.getAutoCommit() returned true
2023-05-21 00:12:01.099 INFO  [HikariPool-32 connection closer] [jdbc.connection] - 340. Connection closed
2023-05-21 00:12:01.099 INFO  [HikariPool-32 connection closer] [jdbc.audit] - 340. Connection.close() returned 
2023-05-21 00:12:01.199 INFO  [HikariPool-32 connection adder] [jdbc.connection] - 351. Connection opened
2023-05-21 00:12:01.199 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 351. Connection.new Connection returned 
2023-05-21 00:12:01.199 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 351. Connection.isReadOnly() returned false
2023-05-21 00:12:01.199 INFO  [HikariPool-32 connection adder] [jdbc.audit] - 351. Connection.getAutoCommit() returned true
2023-05-21 00:12:02.800 INFO  [HikariPool-32 connection closer] [jdbc.connection] - 338. Connection closed
2023-05-21 00:12:02.800 INFO  [HikariPool-32 connection closer] [jdbc.audit] - 338. Connection.close() returned 
2023-05-21 00:12:02.831 INFO  [HikariPool-32 connection adder] [jdbc.connection] - 352. Connection opened
